"mun_name","uf","indice_diversidade"
"Duque de Caxias","RJ","0.6200932818716574971811"
"Pequeri","MG","0.61991765932411397748"
"Mariana","MG","0.619842354449725100288"
"Casimiro de Abreu","RJ","0.6198176326861346009526"
"Rochedo de Minas","MG","0.6195434624432309755470"
"Rio de Janeiro","RJ","0.619530310127346931654"
"Goiatins","TO","0.6188544587568147543930"
"Diogo de Vasconcelos","MG","0.61829933004911872198"
"Armacao dos Buzios","RJ","0.618217693906929808148"
"Queimada Nova","PI","0.61757235283168451901"
"Bastos","SP","0.6171937943662144057234"
"Itaperuna","RJ","0.6166842472716279495839"
"Comodoro","MT","0.6165451589329622852668"
"Itumirim","MG","0.6164095698880903461857"
"Lagoa da Confusao","TO","0.6163985937127336544275"
"Ingai","MG","0.616387236343969713367"
"Natividade","RJ","0.6163820336765407414115"
"Paulistana","PI","0.61623881680444647436370"
"Silva Jardim","RJ","0.6161624826754484168755"
"Sao Jose do Calcado","ES","0.6160808365126385770998"
"Mutuipe","BA","0.61597120338602810732439"
"Bela Vista de Minas","MG","0.615675821724481574735945"
"Ouro Preto","MG","0.615640413576897471956"
"Mar de Espanha","MG","0.6154160807491894843889"
"Salvador","BA","0.615404266208825714382"
"Sapucaia","RJ","0.6151256748110264743513"
"Joaquim Gomes","AL","0.614929629661110591676"
"Tres Coracoes","MG","0.6148272416764646840584"
"Santo Antonio de Jesus","BA","0.6145830505159700488802"
"Trajano de Moraes","RJ","0.6143546812113805851200"
"Oratorios","MG","0.614043353551401919403"
"Pedra do Anta","MG","0.61398433837730614507345"
"Pimenteiras do Oeste","RO","0.61364539912777389586"
"Aral Moreira","MS","0.613493155233769009265"
"Santa Ines","BA","0.6133691299839758695593"
"Volta Redonda","RJ","0.6132691175821161072191"
"Sao Joao de Meriti","RJ","0.6132677870722221094275"
"Seropedica","RJ","0.613039199007889510904"
"Pirauba","MG","0.6128002605493942152251"
"Riacho da Cruz","RN","0.61249765434415462564"
"Nepomuceno","MG","0.61221998025359705676401"
"Piedade de Ponte Nova","MG","0.61198377387058771137"
"Jardim de Angicos","RN","0.6119816419314530855511"
"Sao Sebastiao do Alto","RJ","0.61184988969823100935845"
"Atalaia do Norte","AM","0.6117391134304761060480"
"Amarante do Maranhao","MA","0.61170023956094290816131"
"Visconde do Rio Branco","MG","0.6116817473636874883206"
"Carmo da Cachoeira","MG","0.611472712698304591176000"
"Arcoiris","SP","0.61126594567269580002"
"Teixeiras","MG","0.61099600309684670625913"
"Santo Antonio do Amparo","MG","0.6109254229553063552322"
"Belo Horizonte","MG","0.610472541105520428047"
"Campinapolis","MT","0.6104426456458112803488"
"Santos Dumont","MG","0.60982305929256508563096"
"Itaguai","RJ","0.609609672725640587822"
"Porto Seguro","BA","0.609582526445249174151"
"Rio das Ostras","RJ","0.609499406279865609444"
"Miguel Pereira","RJ","0.6094985490036123891318"
"Atilio Vivacqua","ES","0.60944451245638734161925"
"Sao Pedro da Aldeia","RJ","0.6093195925277454995741"
"Lamim","MG","0.609104528610388626541"
"Caranaiba","MG","0.6089804939012418382691"
"Padre Marcos","PI","0.608964406611708875270"
"Bom Sucesso","MG","0.608947137686610890231"
"Moeda","MG","0.6089047566924449732224"
"Ilheus","BA","0.608888686930094044598"
"Lavras","MG","0.6088832081814870111881"
"Saquarema","RJ","0.6088246161992236209759"
"Eldorado","SP","0.60881454520621493268"
"Barra Longa","MG","0.60877707752997829897500"
"Iguaba Grande","RJ","0.6086051966937874073150"
"Iguatama","MG","0.60859196524482964388674"
"Bom Jesus do Itabapoana","RJ","0.6085290857991537673490"
"Areal","RJ","0.6084014459764801519272"
"Apiacas","MT","0.608355005752960165668"
"Presidente Bernardes","MG","0.60816885960250823679452"
"Tacaratu","PE","0.608036221888696894352"
"Pirapetinga","MG","0.6080044186496636033140"
"Ibitita","BA","0.6079445686526971194552"
"Taboao da Serra","SP","0.607770985127849162660"
"Tabatinga","AM","0.607725293116863949347"
"Muqui","ES","0.6077064803881857366299"
"Engenheiro Paulo de Frontin","RJ","0.6074971465950203542489"
"Amargosa","BA","0.6074479672596265198355"
"Rio Doce","MG","0.607225696956495808278"
"Timoteo","MG","0.6070442689428342280714"
"Paty do Alferes","RJ","0.6070200280066061666836"
"Belford Roxo","RJ","0.6068427767797062976788"
"Embu das Artes","SP","0.6066740247063037005011"
"Santa Barbara do Monte Verde","MG","0.6065466996902085546221"
"Joao Camara","RN","0.60645591446711906013"
"Uba","MG","0.6064271865942168742326"
"Oliveira","MG","0.6062678576010829066251"
"Colombia","SP","0.6062304668837067916128"
"Santo Antonio de Padua","RJ","0.60620699990374793818076"
"Professor Jamil","GO","0.606159381296609792068"
"Conselheiro Lafaiete","MG","0.6059683783378754381409"
"Itatiaia","RJ","0.605889418308004473018"
"Marica","RJ","0.6057935290755253389482"
"Gloria","BA","0.6056197049015742163507"
"Itutinga","MG","0.605600016959933113995"
"Sao Miguel do Anta","MG","0.6055211079604171093122"
"Tocantinia","TO","0.605459660686804807775"
"Sabara","MG","0.6054577111295816778331"
"Dom Silverio","MG","0.6053570790909287814598"
"Resende","RJ","0.605168530286632664640"
"Ibituruna","MG","0.6050169771310159737228"
"Bequimao","MA","0.60491635432853015933022"
"Salgado de Sao Felix","PB","0.6048381285010900726984"
"Bertopolis","MG","0.60481527782916513576"
"Itaborai","RJ","0.6047928612490145148950"
"Guidoval","MG","0.60469474826739944048825"
"Alvinopolis","MG","0.60466605440518858551636"
"Sao Domingos do Prata","MG","0.604437748663006561618"
"Mangaratiba","RJ","0.6041872783075912942495"
"Cana Verde","MG","0.60407870998270704912340"
"Tamarana","PR","0.60405911734932588753"
"Vitoria","ES","0.603954544170758486071"
"Santana dos Montes","MG","0.6039017410809292135867"
"Sao Francisco do Gloria","MG","0.60379930555555555555222"
"Prado","BA","0.603681268163717719015"
"Sidrolandia","MS","0.60365841625491739375"
"Camamu","BA","0.6036295462337372389094"
"Bom Jesus do Norte","ES","0.60347115012636512587732"
"Arraial do Cabo","RJ","0.603166381059468190146"
"Rio Novo","MG","0.603150595115595988572"
"Belo Vale","MG","0.6030629520306239576720"
"Rio Casca","MG","0.602842477402935185508"
"Itapecerica da Serra","SP","0.602825926945943549956"
"Cambuquira","MG","0.6028167910251337100423"
"Cambuci","RJ","0.60263372700557741041441"
"Elisio Medrado","BA","0.6025037634792394517505"
"Olinda","PE","0.602451922549277718177"
"Canta","RR","0.60240797239507365832293"
"Santa Maria de Itabira","MG","0.602378864463141818281266"
"Jeronimo Monteiro","ES","0.602365580844245203368"
"Autazes","AM","0.6021162839491149634245"
"Bras Pires","MG","0.602094051003989508259"
"Contagem","MG","0.602045698306146567028"
"Pompeu","MG","0.60202516108949465752"
"Juiz de Fora","MG","0.6020229319059636795866"
"Sao Joao Nepomuceno","MG","0.6020200201440023434340"
"Riacho de Santana","BA","0.6017484072130325468022"
"Eldorado","MS","0.601739684258519581259"
"Suzano","SP","0.6017370981191900357083"
"Sao Jeronimo da Serra","PR","0.60138957735983541495"
"Recreio","MG","0.601349113804690093360000"
"Ferraz de Vasconcelos","SP","0.600912094719893688000"
"Francisco Morato","SP","0.6008043938040226554012"
"Campo Florido","MG","0.6007125596645974400807"
"Nova Lima","MG","0.6006536252747100025123"
"Mimoso do Sul","ES","0.6006484246813314538887"
"Nazareno","MG","0.6006379361074596327753"
"Acari","RN","0.60060604431260130499977"
"Fernando de Noronha","PE","0.600175934150417816182"
"Muricilandia","TO","0.600097612274624451639"
"Lavinia","SP","0.5999708596553984879827"
"Cachoeira Dourada","MG","0.5998815127187233228714"
"Perdoes","MG","0.59974150460417451313098"
"Cataguases","MG","0.5997272727223654602729"
"Barroso","MG","0.5997070631815368010070"
"Serra do Salitre","MG","0.59962170588996905229020"
"Sao Bras do Suacui","MG","0.59960315786940031439887"
"Juara","MT","0.598756229699081087744"
"Ribeirao Corrente","SP","0.598586000042197145065"
"Paulo de Faria","SP","0.59858392987582176771876"
"Feira de Santana","BA","0.5985433668303287810095"
"Recife","PE","0.598542267212330836045"
"Dona Euzebia","MG","0.59848824429289553685694"
"Santa Luzia","MG","0.5983378832072978016779"
"Sao Geraldo","MG","0.5981704003888628934852"
"Santa Cruz de Goias","GO","0.5981610749396027786915"
"Matipo","MG","0.5981279720779707391276"
"Bonfim","RR","0.5980463165400488746030"
"Barra do Garcas","MT","0.598017551727975648390"
"aguas Belas","PE","0.5980025096262834708563"
"Angra dos Reis","RJ","0.597973921840498637123"
"Paraty","RJ","0.597947447469147720326"
"Bom Jesus da Lapa","BA","0.5978056168511352337067"
"Cachoeiro de Itapemirim","ES","0.5976559711903591593885"
"Guacui","ES","0.5976203143668446207255"
"Itubera","BA","0.5975661992257939232845"
"Guara","SP","0.59748247890316676107998"
"Quissama","RJ","0.597359406168613629966"
"Tres Pontas","MG","0.5973491693127415007934"
"Santa Cruz do Xingu","MT","0.5973474354536648551761"
"Pereira Barreto","SP","0.5973090452078458715601"
"Aracruz","ES","0.5972725961260840543075"
"Duas Barras","RJ","0.597216051041635561928190"
"Japeri","RJ","0.5971785841762909051793"
"Estrela do Indaia","MG","0.5970785467538714291983"
"Arapei","SP","0.596869715780360662393"
"Santana do Jacare","MG","0.59683048504442781075172"
"Piranga","MG","0.59646166853037649047515"
"Manhumirim","MG","0.5963865481560019958663"
"Presidente Kennedy","ES","0.5963080229014952179226"
"Coronel Joao Pessoa","RN","0.59630677496407258643"
"Camacan","BA","0.5962093115165344108148"
"Antonio Prado de Minas","MG","0.5961603825751106346229"
"Poa","SP","0.5961405475315834288471"
"Conceicao do Coite","BA","0.5960855749487559659115"
"Tocantins","MG","0.59600374836481450146100"
"Itabirito","MG","0.5958247629643514828766"
"Itacare","BA","0.595822336062207558814"
"Sao Felix do Araguaia","MT","0.595699344889640683983"
"Carapicuiba","SP","0.595660806087597716831"
"Sao Jose do Goiabal","MG","0.5956520108517359865207"
"Diadema","SP","0.5955966127182660696246"
"Serrinha","BA","0.595534993336664688645"
"Varzedo","BA","0.59552204858146027812105"
"Ouro Branco","MG","0.5954158134363267032461"
"Santana do Garambeu","MG","0.59526812063408506101"
"Piau","MG","0.5952300547890814795633"
