"mun_name","uf","concentracao_maxima"
"Passo do Sobrado","RS","0.88531120331950207469"
"Barao de Cotegipe","RS","0.88493840985442329227"
"Nova Bassano","RS","0.88485853456316716758"
"Nova Ramada","RS","0.88395746648173832640"
"Sao Martinho da Serra","RS","0.88391608391608391608"
"General Camara","RS","0.88347346295323173936"
"GraoPara","SC","0.88322447028835430938"
"Tres Forquilhas","RS","0.88260869565217391304"
"Imbuia","SC","0.88231360748913406887"
"Boa Vista do Incra","RS","0.88199031263760457948"
"Urussanga","SC","0.88197332568478416750"
"Victor Graeff","RS","0.88093525179856115108"
"Novo Cabrais","RS","0.88060538116591928251"
"Luzerna","SC","0.88022091819123230929"
"aguas Mornas","SC","0.88017203025359632211"
"Sao Pedro do Butia","RS","0.87947882736156351792"
"Atalanta","SC","0.87945460179733498606"
"Viadutos","RS","0.87838121199412874817"
"Mariano Moro","RS","0.87782561894510226050"
"Vila Langaro","RS","0.87734487734487734488"
"Carlos Barbosa","RS","0.87731755424063116371"
"Arroio do Meio","RS","0.87712906457783040350"
"Mariana Pimentel","RS","0.87691521961184882533"
"Ibiaca","RS","0.87651866578307930197"
"Sete de Setembro","RS","0.87650273224043715847"
"Garibaldi","RS","0.87604485219164118247"
"Anitapolis","SC","0.87586974672975229613"
"Senador Salgado Filho","RS","0.87504676393565282454"
"Sao Joao da Ponta","PA","0.87426636568848758465"
"Antonio Carlos","SC","0.87419814682822523165"
"Tracuateua","PA","0.87403392201433817101"
"Xavantina","SC","0.87380235422940049275"
"Turvo","SC","0.87349536149658820823"
"Fagundes Varela","RS","0.87334372564302416212"
"Vale Verde","RS","0.87333333333333333333"
"Teutonia","RS","0.87251882794158002256"
"Ernestina","RS","0.87244561634805537245"
"Cocal do Sul","SC","0.87233178654292343387"
"Terra de Areia","RS","0.87207276949874201664"
"Imarui","SC","0.87206464102348287181"
"Maracaja","SC","0.87204094689699296225"
"Treviso","SC","0.87149656266525647805"
"Arroio Trinta","SC","0.87148481439820022497"
"Ilopolis","RS","0.87130141929275920135"
"Chapada","RS","0.87117400419287211740"
"Doutor Ricardo","RS","0.87076271186440677966"
"Santa Terezinha","SC","0.87044383833374659063"
"Tuparendi","RS","0.86894655028099964128"
"Crissiumal","RS","0.86884991463603911221"
"Guaraciaba","SC","0.86809929603556872916"
"Vila Flores","RS","0.86807460230389467910"
"Sao Lourenco do Sul","RS","0.86794160375336397628"
"David Canabarro","RS","0.86762323536218467947"
"Turucu","RS","0.86750511845568879789"
"Benedito Novo","SC","0.86739543726235741445"
"Agronomica","SC","0.86705202312138728324"
"Novo Xingu","RS","0.86695018226002430134"
"Armazem","SC","0.86653837446230473172"
"Esperanca do Sul","RS","0.86608803471791692498"
"Ibirama","SC","0.86527036552210250730"
"Guabiju","RS","0.86520818630910374030"
"Quatro Pontes","PR","0.86450892857142857143"
"Tubarao","SC","0.86450839328537170264"
"Alto Alegre","RS","0.86388888888888888889"
"Sao Carlos","SC","0.86335343318420540751"
"Timbe do Sul","SC","0.86334942443371704419"
"Mallet","PR","0.86312183497170092344"
"Gravatal","SC","0.86296743063932448733"
"Sao Valentim","RS","0.86274509803921568627"
"Santo Antonio do Palma","RS","0.86274509803921568627"
"Paulo Lopes","SC","0.86251793004523888337"
"Vila Maria","RS","0.86245184681622479039"
"Cachoeira Grande","MA","0.86230990546650226058"
"Urucara","AM","0.86205786055498899683"
"Nhamunda","AM","0.86203814064362336114"
"Sao Jorge","RS","0.86195054945054945055"
"Veranopolis","RS","0.86187086299487948045"
"Sombrio","SC","0.86172518422193324664"
"Nova Trento","SC","0.86144095578057842209"
"Sertao Santana","RS","0.86133378816305645574"
"Tres Passos","RS","0.86129894637521622897"
"Protasio Alves","RS","0.86123456790123456790"
"Dezesseis de Novembro","RS","0.86118867171918627842"
"Santo Amaro da Imperatriz","SC","0.86113963039014373717"
"Cerro Branco","RS","0.86112572330352446081"
"Descanso","SC","0.86084407971864009379"
"Ipira","SC","0.86063783311489733508"
"Estrela","RS","0.86057856632383556536"
"Sao Marcos","RS","0.86027319294251565168"
"Witmarsum","SC","0.86016451233842538190"
"Icara","SC","0.86006606250529346998"
"Porto Vera Cruz","RS","0.85897435897435897436"
"Santa Rosa do Sul","SC","0.85896650326797385621"
"Flores da Cunha","RS","0.85857179852388968018"
"Chapadao do Lageado","SC","0.85830508474576271186"
"Nova Veneza","SC","0.85728922716627634660"
"Coqueiros do Sul","RS","0.85707824513794663048"
"Tocos do Moji","MG","0.85703084161003659174"
"Cruzeiro do Sul","RS","0.85672413793103448276"
"Casca","RS","0.85641838351822503962"
"Lacerdopolis","SC","0.85631672597864768683"
"Passa Sete","RS","0.85613858900326387145"
"Guarani das Missoes","RS","0.85610249494268374916"
"Primeira Cruz","MA","0.85566328779197884531"
"Santa Helena","SC","0.85525773195876288660"
"Capela de Santana","RS","0.85491531499238283000"
"Augusto Correa","PA","0.85488973145177573868"
"Venancio Aires","RS","0.85484926486627983072"
"Pescaria Brava","SC","0.85475956820412168793"
"Salete","SC","0.85418613967151822673"
"Laguna","SC","0.85392076662381675821"
"Governador Celso Ramos","SC","0.85391664203369790127"
"Santo Antonio da Patrulha","RS","0.85386639346170861760"
"Campo Bom","RS","0.85357631269280921032"
"Mondai","SC","0.85336777270017881979"
"Bom Retiro do Sul","RS","0.85334309419228892143"
"Jaguaruna","SC","0.85330061349693251534"
"Orleans","SC","0.85258442162207852584"
"Taio","SC","0.85248498088476242490"
"Belagua","MA","0.85224586288416075650"
"Sao Pedro do Sul","RS","0.85189702766899916544"
"Alfredo Wagner","SC","0.85182711573323156187"
"Barra Funda","RS","0.85148118494795836669"
"Dona Emma","SC","0.85145700071073205402"
"Tres de Maio","RS","0.85117996468132926633"
"Apiuna","SC","0.85098358984812965039"
"Agudo","RS","0.85069509382208091765"
"Lauro Muller","SC","0.85014950281621584034"
"Caapiranga","AM","0.84980325191179746084"
"Antonio Prado","RS","0.84975086239938673821"
"Sao Sebastiao do Cai","RS","0.84943507450466677583"
"Sao Pedro de Alcantara","SC","0.84885734072022160665"
"Ajuricaba","RS","0.84880952380952380952"
"Ararangua","SC","0.84841912071410694919"
"Santa Isabel do Rio Negro","AM","0.84834792431516520757"
"Vale Real","RS","0.84829976890062726973"
"Riozinho","RS","0.84820031298904538341"
"Marcelino Ramos","RS","0.84814814814814814815"
"NaoMeToque","RS","0.84774835177114761426"
"Major Gercino","SC","0.84723086496577473553"
"Serra Alta","SC","0.84710868907054193158"
"Paulo Frontin","PR","0.84707551631720006306"
"Praia Grande","SC","0.84667472793228536880"
"Humaita","RS","0.84661397137363811151"
"Roca Sales","RS","0.84661163371088500672"
"Novo Hamburgo","RS","0.84656879541041792959"
"Humberto de Campos","MA","0.84633956386292834891"
"Morros","MA","0.84607092810175703352"
"Estancia Velha","RS","0.84554711626742342042"
"Arroio do Tigre","RS","0.84549676563277492121"
"Rodeio","SC","0.84510464842831386690"
"Mormaco","RS","0.84506531204644412192"
"Braco do Trombudo","SC","0.84500745156482861401"
"Torres","RS","0.84472228210102752030"
"Mucum","RS","0.84459900021734405564"
"Saudades","SC","0.84452021432050657574"
"Marema","SC","0.84432234432234432234"
"Saldanha Marinho","RS","0.84388349514563106796"
"Campos Borges","RS","0.84362026017160254636"
"Sananduva","RS","0.84358802365997926703"
"Doutor Pedrinho","SC","0.84300247456695078361"
"Ipe","RS","0.84293387664382293017"
"Nova Alvorada","RS","0.84287069238065128043"
"Botuvera","SC","0.84262539623345142644"
"Bozano","RS","0.84239888423988842399"
"Santana da Boa Vista","RS","0.84239749430523917995"
"Jari","RS","0.84234099731263063601"
"Iraceminha","SC","0.84194681384846964375"
"Imbe","RS","0.84189531762600656129"
"Massaranduba","SC","0.84180165481878568931"
"Virginia","MG","0.84171531207903008532"
"Xangrila","RS","0.84170564295693373018"
"Ibarama","RS","0.84163987138263665595"
"Augusto Pestana","RS","0.84137641628199748217"
"Morro da Fumaca","SC","0.84123644602686518854"
"Agrolandia","SC","0.84121929026387625114"
"Candelaria","RS","0.84082889365529647824"
"Imbituba","SC","0.84048764715951235284"
"Porto Maua","RS","0.84033613445378151261"
"Cruz Machado","PR","0.84028038553010389285"
"Lajeado","RS","0.83972620293445528907"
"Gramado","RS","0.83961229879902327204"
"Ermo","SC","0.83957690612604671662"
"Sao Francisco de Assis","RS","0.83936882733567941878"
"Sao Jose do Ouro","RS","0.83918642083699151302"
"Lindolfo Collor","RS","0.83866837387964148528"
"Camargo","RS","0.83864475008386447501"
"Sao Martinho","RS","0.83853311439518336070"
"Ivora","RS","0.83825816485225505443"
"Faro","PA","0.83799266727772685610"
"Sertao","RS","0.83775491788485832882"
"Fortaleza dos Valos","RS","0.83761447397811034175"
"Espumoso","RS","0.83754036775851842088"
"Barao do Triunfo","RS","0.83749363219561895059"
"Pedro Alexandre","BA","0.83717930342554106349"
"Glorinha","RS","0.83716375032645599373"
"Palmitos","SC","0.83713042365288621528"
"Vitor Meireles","SC","0.83705772811918063315"
"Urucurituba","AM","0.83704322405512633118"
"Modelo","SC","0.83700980392156862745"
"Vanini","RS","0.83682634730538922156"
"Silveira Martins","RS","0.83678500986193293886"
"Serafina Correa","RS","0.83662519898590884971"
"Trombudo Central","SC","0.83640362936486114930"
"Parintins","AM","0.83636325903789482422"
"Sao Jose do Cedro","SC","0.83616856073974730006"
"Ituporanga","SC","0.83604147031102733270"
"Corupa","SC","0.83598611384030916356"
"Rolante","RS","0.83574083658777584341"
"Portao","RS","0.83513838748495788207"
"Nova Palma","RS","0.83512352309344790548"
"Sao Paulo das Missoes","RS","0.83475880944235374615"
"Sao Joao da Mata","MG","0.83321894303363074811"
"Garopaba","SC","0.83227077005240495344"
"Jacutinga","RS","0.83223487118034751348"
"Jaguari","RS","0.83212023820777011060"
"Pau D'Arco do Piaui","PI","0.83195876288659793814"
"Itaara","RS","0.83147882268485283561"
"Mansidao","BA","0.83102234355916373303"
"Rio dos Cedros","SC","0.83101702715140358951"
"Rio do Campo","SC","0.83090514569125852449"
"Arroio do Sal","RS","0.83060504657682915800"
"Itapiranga","SC","0.83056857795408101935"
"Tucunduva","RS","0.83056658246120534103"
"Alecrim","RS","0.83014861995753715499"
"Vale do Sol","RS","0.82964534707487117308"
"Manacapuru","AM","0.82925512597783732320"
"Jaguarao","RS","0.82911701687779573732"
"Camaqua","RS","0.82909967845659163987"
"Campinas do Sul","RS","0.82891748675246025738"
"Tio Hugo","RS","0.82858891949801040710"
"Santa Cruz do Sul","RS","0.82840201155895819260"
"Guaruja do Sul","SC","0.82812176434044315593"
"Porto de Moz","PA","0.82774589255363696825"
"Triunfo","RS","0.82747836206269546876"
"Fazenda Vilanova","RS","0.82731298065718946632"
"Santo Expedito do Sul","RS","0.82716049382716049383"
"Guapore","RS","0.82661864809244894729"
"Cerrito","RS","0.82661845730027548209"
"Tigrinhos","SC","0.82653499355946758265"
"Sinimbu","RS","0.82653299137328048496"
"Lagoa Bonita do Sul","RS","0.82541092847623278543"
"Viseu","PA","0.82524023717031281946"
"Ipiranga do Sul","RS","0.82500000000000000000"
"Horizontina","RS","0.82499602143122380776"
"Frederico Westphalen","RS","0.82486897354951420603"
"Maquine","RS","0.82475060663251550283"
"Ponte Alta do Bom Jesus","TO","0.82464454976303317536"
"Derrubadas","RS","0.82442748091603053435"
"Dom Vicoso","MG","0.82423263327948303716"
"Ascurra","SC","0.82413751652842889770"
"Luiz Alves","SC","0.82403286545703526190"
"Osorio","RS","0.82393028947590513967"
"Juruti","PA","0.82390283209842573849"
"Estacao","RS","0.82318165532067359369"
"Porto Lucena","RS","0.82293577981651376147"
"Passo de Torres","SC","0.82274947662247034194"
"Codajas","AM","0.82254023525415091936"
"Coronel Barros","RS","0.82246633593196314670"
"Quevedos","RS","0.82209812524930195453"
