muncod_ibge,pop_total,pop_branca,pop_preta,pop_amarela,pop_parda,pop_indigena
3304706,41325,21015,6590,9,13691,18
3304755,45059,19451,4940,14,20630,20
3304805,38961,21317,4751,21,12856,16
3304904,896744,331250,152326,490,411987,661
3305000,36573,20994,2568,7,12996,8
3305109,440962,129089,84669,315,226641,234
3305133,7070,2900,795,1,3374,
3305158,22080,14205,2064,16,5773,22
3305208,104029,44306,14056,50,45468,148
3305307,7750,3993,1478,2,2277,
3305406,17729,8617,2886,24,6196,6
3305505,89559,36473,12192,67,40726,95
3305554,80596,27789,12901,120,39685,96
3305604,21352,6814,3822,22,10675,13
3305703,15206,9890,1518,4,3791,3
3305752,31086,8362,4948,45,17700,31
3305802,165123,97870,16860,399,49854,135
3305901,10302,4830,1561,9,3894,8
3306008,78346,31070,16281,74,30881,35
3306107,68088,30635,12516,143,24746,47
3306156,10207,5043,1151,28,3973,12
3306206,33976,13911,7155,28,12860,22
3306305,261563,127912,41527,454,91499,165
3500105,34687,23357,1337,721,9254,17
3500204,4351,2596,187,13,1548,7
3500303,32072,20190,2085,117,9675,5
3500402,7369,5287,317,29,1736,
3500501,17930,13288,636,56,3942,5
3500550,7177,4586,363,59,2165,4
3500600,2780,2224,91,51,413,1
3500709,37680,22272,2422,159,12773,52
3500758,6141,4183,235,13,1707,3
3500808,4445,2519,234,71,1618,3
3500907,3451,1669,278,7,1496,1
3501004,16818,10278,1041,37,5454,6
3501103,3841,2524,155,27,1134,1
3501152,17301,8944,1334,63,6951,7
3501202,3915,2534,187,19,1174,1
3501301,27255,14618,1856,646,10112,23
3501400,4808,2154,488,8,2157,1
3501509,2885,1490,237,6,1150,2
3501608,237240,167758,10855,1568,56832,215
3501707,33019,16490,2836,51,13626,16
3501806,5870,3994,267,36,1567,6
3501905,68008,49363,3208,147,15259,31
3502002,4589,2923,276,14,1370,6
3502101,59783,31450,3672,1031,23606,21
3502200,24022,17660,781,65,5504,12
3502309,5674,3435,299,12,1924,4
3502408,4023,2179,166,36,1641,1
3502507,32569,20874,2007,81,9567,38
3502606,4086,2673,185,22,1205,1
3502705,24585,11359,1276,77,11847,22
3502754,21522,9978,1834,58,9631,21
3502804,200124,117740,13235,4406,64598,137
3502903,32443,22666,1325,348,8065,33
3503000,5420,2898,516,11,1995,
3503109,6885,3842,482,15,2545,1
3503158,2330,1166,284,9,865,6
3503208,242228,157275,19158,1714,63921,146
3503307,130866,86684,8394,439,35261,81
3503356,2044,1028,56,11,713,236
3503406,8130,5929,360,28,1812,1
3503505,3577,1903,260,4,1407,3
3503604,10130,5535,658,14,3920,2
3503703,7602,5486,289,7,1818,2
3503802,51456,29123,2818,261,19222,31
3503901,86678,44602,7203,1396,33364,111
3503950,1842,1056,93,15,675,3
3504008,101409,71594,4362,582,24799,72
3504107,158647,101568,9018,3367,44523,161
3504206,13692,9087,526,83,3992,4
3504305,4483,2331,194,21,1262,675
3504404,11263,5831,748,38,4642,4
3504503,92805,62119,4657,870,25080,76
3504602,27260,17540,1431,116,8150,21
3504701,3887,1905,381,7,1590,4
3504800,9596,7099,419,8,2069,1
3504909,9969,5149,1034,4,3780,2
3505005,3531,2616,75,18,706,116
3505104,5640,2759,462,34,2383,2
3505203,31595,22946,1622,55,6961,11
3505302,34346,24069,1731,58,8465,23
3505351,5179,2107,287,19,2763,3
3505401,6876,2829,514,26,3479,28
3505500,122485,75224,11187,963,35051,59
3505609,32092,12646,3544,196,15656,50
3505708,316473,165549,26018,2178,122495,217
3505807,21503,9236,744,2221,9285,16
3505906,58402,38750,3619,105,15914,13
3506003,379146,242551,26645,5260,104160,515
3506102,76373,49965,4899,274,21209,25
3506201,2606,1135,214,11,1246,
3506300,11607,8595,476,14,2511,11
3506359,64188,27757,6178,455,29482,314
3506409,7319,4803,345,109,2055,7
3506508,118979,74896,5663,1132,37163,124
3506607,29683,16903,1804,1072,9877,26
3506706,12978,7218,774,15,4966,5
3506805,11259,7578,435,6,3225,15
3506904,10460,6519,555,32,3346,8
3507001,61081,39530,3351,390,17740,69
3507100,22006,13036,1312,213,7435,9
3507159,3555,2311,207,7,1030,
3507209,907,512,50,2,342,1
3507308,4715,2961,289,1,1458,6
3507407,14226,10344,553,53,3274,2
3507456,2713,1495,143,8,1054,13
3507506,145155,101105,7954,973,34992,125
3507605,176811,122125,8555,1835,44111,169
3507704,5356,2884,299,42,1971,160
3507753,2565,1131,170,46,1218,
3507803,25201,17049,1283,52,6811,6
3507902,23898,16132,1210,58,6472,23
3508009,20250,13220,722,40,6264,4
3508108,17210,10306,835,102,5947,20
3508207,4356,2919,199,10,1221,7
3508306,4299,2738,176,12,1372,1
3508405,47011,25086,3216,355,18261,89
3508504,96202,60842,5629,445,29240,39
3508603,31564,19800,2145,62,9542,13
3508702,17101,11483,802,31,4781,4
3508801,16654,9440,1012,251,5948,3
3508900,3712,1841,164,55,1652,
3509007,95032,50989,9066,260,34581,136
3509106,5466,2408,412,21,2618,7
3509205,92689,46505,8053,306,37749,74
3509254,28515,13312,1289,156,13735,23
3509304,9133,5844,438,7,2836,8
3509403,23830,15300,1099,34,7385,12
3509452,5954,4092,169,27,1654,12
3509502,1139047,677979,104770,11923,342975,1313
3509601,77632,44999,6082,356,26117,70
3509700,46974,34269,1559,232,10876,35
3509809,4888,3127,188,8,1563,2
3509908,12289,6571,760,93,4682,183
3509957,4931,2604,286,10,2030,1
3510005,29449,20841,1066,47,7473,21
3510104,2889,2069,101,15,703,1
3510153,6283,3321,491,17,2442,12
3510203,46337,31348,1309,691,12943,43
3510302,22866,16120,705,45,5985,11
3510401,50068,31388,4637,88,13930,21
3510500,134873,76327,9775,986,47517,265
3510609,386984,177357,42943,1131,165080,421
3510708,11345,5907,750,78,4597,13
3510807,28083,18029,1945,55,8035,18
3510906,2799,1922,162,1,713,1
3511003,19977,8994,1309,139,9513,22
3511102,115791,80036,6769,575,28328,82
3511201,7003,4356,261,5,2377,4
3511300,12618,8379,725,22,3478,14
3511409,21469,14552,887,51,5973,6
3511508,44695,32155,1728,140,10635,34
3511607,19048,13763,610,55,4610,10
3511706,15535,10185,767,13,4564,6
3511904,6982,3632,452,49,2834,15
3512001,18486,10444,1091,64,6861,25
3512100,6629,2808,725,113,2980,3
3512209,28101,16253,1769,175,9892,12
3512308,15232,11692,580,52,2906,2
3512407,24514,15726,1750,35,6997,6
3512506,5400,3286,310,25,1768,11
3512605,4280,2756,165,39,1316,4
3512704,4195,2761,201,2,1226,5
3512803,59773,31663,5195,214,22673,27
3512902,8719,5552,535,15,2611,6
3513009,274413,138654,24896,3011,107518,316
3513108,33281,21789,2013,109,9353,17
3513207,9272,5127,726,36,3374,9
3513306,2108,1337,45,10,715,1
3513405,74961,50530,5159,128,19105,35
3513504,112476,44281,12394,145,55553,101
3513603,22110,14521,664,61,6856,6
3513702,31756,22172,1433,73,8055,21
3513801,393237,178838,42413,2126,169554,288
3513850,1620,985,47,13,573,2
3513900,11158,8725,315,4,2105,9
3514007,8759,3966,623,5,4148,17
3514106,24510,16366,1242,30,6849,20
3514205,2207,1383,120,13,691,
3514304,8096,5873,391,7,1825,
3514403,45474,28660,1798,965,14027,22
3514502,12328,7767,708,156,3661,36
3514601,9471,5138,597,11,3722,3
3514700,6205,3725,289,12,2178,1
3514809,13069,4847,1705,50,6356,111
3514908,17699,10454,865,54,6325,1
3514924,3138,2172,116,6,843,1
3514957,2323,1599,95,,628,1
3515004,250691,95673,33681,952,120126,246
3515103,66970,31653,5852,459,28912,93
3515129,3014,1623,153,62,1176,
3515152,19566,9648,1426,41,8433,18
3515186,39816,30477,2025,64,7227,18
3515194,4157,2524,210,12,1410,1
3515202,9417,6140,442,49,2781,5
3515301,2703,1296,119,30,1256,2
3515350,7924,2668,613,20,4619,3
3515400,16641,12835,489,65,3245,7
3515509,71186,48381,3197,656,18901,51
3515608,5942,4326,241,26,1344,5
3515657,1656,991,54,20,590,1
3515707,179198,76790,21411,394,80375,222
3515806,1487,727,67,10,683,
3515905,2733,2028,102,7,595,1
3516002,12958,6951,716,140,5147,4
3516101,3851,2047,249,6,1546,3
3516200,352536,225551,26353,759,99611,236
3516309,165139,62193,21695,186,80918,140
3516408,144849,65386,15996,246,63113,106
3516507,2763,1710,112,57,884,
3516606,6380,3589,396,65,2327,3
3516705,42110,24690,2838,563,13991,28
3516804,3252,1831,204,5,1211,1
3516853,4702,2433,317,7,1945,
3516903,10312,6242,527,21,3516,6
3517000,10232,4684,799,121,4627,1
3517109,4138,2403,242,20,1473,
3517208,11239,5797,765,150,4516,11
3517307,5512,2319,354,146,2693,
3517406,39279,21753,2935,790,13780,16
3517505,21711,12742,1282,55,7608,24
3517604,17071,8459,395,193,8022,1
3517703,18606,9053,2228,80,7240,5
3517802,7441,3951,346,252,2892,
3517901,10350,5410,837,38,4056,9
3518008,1968,1293,126,9,540,
3518107,6427,3432,343,50,2599,3
3518206,31043,16579,1733,555,12156,18
3518305,31236,18378,1979,379,10446,54
3518404,118044,76371,6925,405,34286,56
3518503,15013,9602,610,30,4718,17
3518602,37498,16002,3513,71,17896,16
3518701,287634,120376,27414,778,138564,479
3518800,1291771,628337,123048,12088,526650,1580
3518859,7320,3576,524,256,2959,5
3518909,4246,2145,329,16,1756,
3519006,9125,4474,440,44,4154,13
3519055,15094,9150,581,61,5298,4
3519071,236641,114463,22507,933,98480,247
3519105,10437,6955,431,50,2993,8
3519204,6131,3277,248,101,2498,7
3519253,8010,3866,580,8,3547,9
3519303,32178,17257,2376,42,12479,24
3519402,11690,8326,396,44,2918,5
3519501,6385,4380,284,18,1697,3
3519600,60033,40151,3169,187,16475,49
3519709,75605,44179,3798,1777,25765,75
3519808,7819,3961,595,43,3213,7
3519907,7619,5216,238,29,2136,
3520004,23106,13189,1734,32,8135,16
3520103,26212,13530,2056,65,10558,2
3520202,10605,6510,644,34,3396,21
3520301,29115,14681,1428,335,12359,311
3520400,34934,17871,2641,147,14163,112
3520426,13419,7465,867,122,4939,26
3520442,25549,13372,1598,398,10163,18
3520509,255748,163860,13956,3352,74382,187
3520608,5090,3106,311,16,1654,3
3520707,4035,2278,190,13,1553,1
3520806,3615,1966,172,39,1433,5
3520905,13712,8842,781,21,4059,9
3521002,36459,20378,2611,78,13373,19
3521101,6831,4078,440,15,2293,5
3521150,6761,4252,313,37,2149,10
3521200,4046,892,658,8,2475,13
3521309,14454,7454,969,25,6004,2
3521408,21967,14012,1360,53,6535,7
3521507,6867,4582,235,3,2045,2
3521606,7085,3559,531,172,2822,1
3521705,17983,12686,498,50,4746,3
3521804,25180,16063,985,243,7880,4
3521903,16989,12169,602,46,4164,7
3522000,3618,2354,146,5,1108,5
3522109,112476,58198,9840,582,43348,500
3522158,3422,1046,217,7,2152,
3522208,158522,66536,18710,879,72130,252
3522307,157790,110048,5472,1610,40529,127
3522406,89728,62294,3074,482,23841,35
3522505,232297,90405,24790,421,116575,100
3522604,72022,51723,3928,184,16156,30
3522653,4306,2174,112,2,2018,
3522703,39493,28352,1452,122,9559,8
3522802,14085,10401,381,187,3046,68
3522901,13659,8489,937,16,4216,1
3523008,3979,1510,275,20,2174,
3523107,369275,147012,39455,996,181280,494
3523206,44438,32907,1443,162,9877,49
3523305,15528,6750,1126,352,7216,84
3523404,121590,76794,8257,822,35659,54
3523503,19070,12019,1143,16,5878,13
3523602,16148,9460,1194,38,5448,8
3523701,5779,2979,497,15,2285,3
3523800,8046,4863,467,10,2705,1
3523909,168240,104964,11034,793,51327,115
3524006,70616,39398,4673,603,25893,43
3524105,37571,21892,2807,315,12536,20
3524204,6221,3251,530,18,2402,20
3524303,71821,46705,4774,627,19692,18
3524402,240275,154729,14861,2090,68403,177
3524501,7613,4636,454,20,2498,5
3524600,16097,8229,665,61,7128,14
3524709,59347,38280,3201,296,17539,31
3524808,48776,33764,1662,886,12453,11
3524907,6397,4252,286,34,1821,4
3525003,118045,54901,12172,491,50393,83
3525102,45282,25916,3593,142,15611,20
3525201,37535,20502,2103,213,14682,35
3525300,133497,95343,7600,328,30159,55
3525409,3863,1777,395,13,1672,4
